,MLSNumber,DOM,List Price,City,Age,CompAvgAge,InteriorSqFt,CompAvgSqFt,Bedrooms,BathsFull,BathsHalf,NumComps,hoaTotalFee,MonthlyMortgage,TaxMonthlyTotal,TotalMonthlyCosts,CompAvgRentRevenue,MonthlyProfit,CapRate
3896,VAFX1147610,46,194500.0,Burke,1985,1985.0,900,725.0,3,1,0.0,1.0,562.1666666666666,434.97,0.0,1022.1366666666667,1675.0,652.8633333333333,7.83436
3899,VALO418588,35,319900.0,Ashburn,2006,,1233,,3,2,0.0,0.0,391.76,1012.16,230.66666666666666,1659.5866666666668,,,
3903,VAFX1147552,19,630000.0,Oakton,1973,,1961,,4,2,1.0,0.0,125.0,2439.50,517.25,3106.75,,,
3905,VAAR167612,42,685000.0,Arlington,2005,2005.5,980,1000.6666666666666,2,2,0.0,6.0,554.0,2692.66,547.25,3818.91,2933.3333333333335,-885.5766666666664,-10.626919999999997
3907,VAFX1147476,48,230000.0,Alexandria,1972,1972.0,900,900.0,2,1,0.0,5.0,275.0,598.37,153.08333333333334,1051.4533333333334,1533.0,481.5466666666666,5.778559999999999
3915,VAFX1147434,50,465000.0,Fairfax,2000,,1306,,3,2,0.0,0.0,528.0,1680.03,420.1666666666667,2653.1966666666663,,,
3921,VAFX1144456,49,367900.0,Falls Church,1987,1987.0,1049,1077.357142857143,2,2,0.0,14.0,582.0,1233.10,312.1666666666667,2152.2666666666664,2057.1428571428573,-95.12380952380909,-1.141485714285709
3925,VAAX249544,50,619000.0,Alexandria,1994,,1830,,3,2,1.0,0.0,100.0,2388.87,514.5833333333334,3028.4533333333334,,,
3935,VAPW501804,14,379900.0,Woodbridge,2012,2010.0,2502,2227.7368421052633,3,2,1.0,19.0,393.0,1288.33,348.5,2054.83,2305.0,250.17000000000007,3.002040000000001
3939,VAAR167546,54,377000.0,Arlington,1973,1973.0,851,926.3333333333334,1,1,0.0,6.0,562.0,1274.98,269.5,2131.48,1944.1666666666667,-187.31333333333328,-2.2477599999999995
3940,VALO418304,49,6900000.0,Leesburg,2014,,14672,,7,9,2.0,0.0,168.0,31299.24,1981.0833333333333,33473.323333333334,,,
3943,VAFX1146886,19,279900.0,Annandale,1972,1971.8333333333333,1218,1202.6666666666667,2,2,0.0,6.0,340.0,828.05,235.08333333333334,1428.1333333333332,1733.3333333333333,305.20000000000005,3.6624000000000003
3948,VALO418434,55,489990.0,Ashburn,2020,,1532,,3,2,0.0,0.0,477.25,1795.06,0.0,2297.31,,,
3953,VAFX1145102,16,249900.0,Annandale,1969,1969.0,982,985.5384615384615,2,1,1.0,13.0,502.0,689.96,208.41666666666666,1425.3766666666668,1623.076923076923,197.70025641025632,2.3724030769230757
3964,VALO417554,56,1045000.0,Leesburg,2006,2004.3333333333333,5824,5233.0,5,4,1.0,3.0,189.41,4349.67,719.5833333333334,5283.663333333333,3283.3333333333335,-2000.3299999999995,-24.003959999999992
3965,VALO418408,56,439950.0,Ashburn,2021,,1701,,3,2,1.0,0.0,248.0,1564.73,0.0,1837.73,,,
3983,VAAR167054,54,675000.0,Arlington,1979,,2448,,3,2,3.0,0.0,256.25,2646.63,527.0,3454.88,,,
3985,VAFX1145390,51,690000.0,Chantilly,2019,2018.0,2210,2794.0,3,3,2.0,1.0,128.0,2715.67,592.3333333333334,3461.0033333333336,3455.0,-6.003333333333558,-0.0720400000000027
3988,VAFC120222,45,249990.0,Fairfax,1964,1964.0,875,874.0,2,1,0.0,4.0,357.0,690.38,174.08333333333334,1246.4633333333334,1561.0,314.53666666666663,3.77444
3989,VAFX1146982,42,334995.0,Falls Church,1973,1975.0,1069,1252.75,2,1,1.0,4.0,580.0,1081.64,206.66666666666666,1893.3066666666668,2111.25,217.94333333333316,2.615319999999998
3990,VAPW501370,4,260000.0,Woodbridge,1990,1990.0,1152,1104.0,2,2,1.0,1.0,393.0,736.45,223.25,1377.7,1700.0,322.29999999999995,3.8675999999999995
3997,VALO417834,56,670000.0,Brambleton,2017,2017.0,3168,2986.5714285714284,4,3,1.0,7.0,218.19,2623.61,507.3333333333333,3374.1333333333337,3289.285714285714,-84.84761904761945,-1.0181714285714334
4001,VAFX1146930,41,339900.0,Reston,1997,1996.3333333333333,1020,1076.5,2,2,0.0,6.0,310.0,1104.22,291.4166666666667,1730.6366666666668,1883.3333333333333,152.6966666666665,1.8323599999999978
4002,VAFX1146914,56,749000.0,Mclean,1970,1970.75,2128,1630.5,4,3,1.0,4.0,100.0,2987.24,641.4166666666666,3753.6566666666663,3023.75,-729.9066666666663,-8.758879999999996
4003,VAAX249468,56,194900.0,Alexandria,1967,1967.0,864,851.2,1,1,0.0,5.0,520.0,436.81,133.08333333333334,1114.8933333333332,1440.0,325.1066666666668,3.9012800000000016
4004,VAFX1145146,57,315000.0,Falls Church,1979,1980.0,1288,1389.0,2,1,1.0,2.0,604.0,989.61,232.0,1850.6100000000001,1950.0,99.38999999999987,1.1926799999999984
4019,VAFX1145304,42,450000.0,Fairfax,2006,2005.5555555555557,1085,1070.4444444444443,2,2,0.0,9.0,491.0,1610.99,417.5833333333333,2544.5733333333333,2219.3333333333335,-325.2399999999998,-3.9028799999999975
4022,VAAR167248,57,405000.0,Arlington,1950,1950.0,875,811.0344827586207,2,1,0.0,29.0,341.0,1403.86,296.4166666666667,2066.2766666666666,1909.655172413793,-156.62149425287362,-1.8794579310344834
4031,VALO417376,57,1749999.0,Leesburg,1998,,6664,,5,6,1.0,0.0,186.0,7594.66,862.9166666666666,8668.576666666666,,,
4034,VAFX1146302,10,435000.0,Clifton,1991,1992.0,1888,1565.1666666666667,3,3,1.0,6.0,100.0,1541.95,385.2991666666667,2052.2491666666665,2225.0,172.7508333333335,2.073010000000002
4038,VALO418216,56,1000000.0,Ashburn,2016,,5840,,5,5,1.0,0.0,166.75,4142.55,740.0833333333334,5074.383333333333,,,
4054,VAAR167344,35,400000.0,Arlington,1939,,994,,2,1,0.0,0.0,618.0,1380.85,325.75,2349.6,,,
4055,VAFX1146466,45,404900.0,Alexandria,2007,2006.0,1524,1524.0,3,2,1.0,2.0,395.0,1403.40,356.5833333333333,2179.9833333333336,2312.5,132.51666666666642,1.5901999999999972
4056,VAFX1139514,57,2199000.0,Vienna,2015,,9096,,8,7,2.0,0.0,300.0,9661.34,2261.25,12247.59,,,
4087,VAAX249320,51,309000.0,Alexandria,1975,,1161,,2,2,0.0,0.0,632.0,961.99,273.9166666666667,1892.9066666666668,,,
4089,VAFX1146030,57,1375000.0,Vienna,2009,,7012,,6,5,2.0,0.0,165.0,5868.61,1428.0,7486.61,,,
4098,VAPW500308,60,779900.0,Gainesville,2004,2002.0,5965,4491.0,5,5,1.0,1.0,175.0,3129.46,728.0,4057.46,2995.0,-1062.46,-12.74952
4101,VAFX1145754,54,635000.0,Alexandria,2012,2013.0,2360,1824.0,3,3,1.0,1.0,105.0,2462.51,515.8333333333334,3108.3433333333337,3000.0,-108.3433333333337,-1.3001200000000044
4112,VAFX1145788,60,575000.0,Mclean,2008,2008.0,1023,939.5,1,2,0.0,2.0,634.0,2186.34,565.75,3411.09,2275.0,-1136.0900000000001,-13.633080000000003
4129,VAAR167100,56,619900.0,Arlington,1980,,1224,,2,2,0.0,0.0,262.0,2393.01,497.75,3177.76,,,
4140,VAFX1145450,47,304900.0,Centreville,2002,2002.0,1202,1163.75,2,2,0.0,16.0,303.0,943.12,277.4025,1548.5224999999998,1795.3125,246.7900000000002,2.9614800000000026
4142,VAFX1118276,57,339000.0,Fairfax,2003,2003.0,1170,1238.125,2,2,0.0,8.0,292.0,1100.08,294.75,1711.83,1987.5,275.6700000000001,3.308040000000001
